date,rice,wheat,oil
2010-01-15,25.827142857142857,24.48,64.5
2010-02-15,27.7,24.357142857142858,64.66666666666667
2010-03-15,27.724285714285713,23.928571428571427,64.16666666666667
2010-04-15,26.91714285714286,23.689999999999998,64.54833333333333
2010-05-15,26.63714285714286,23.815714285714286,66.02333333333333
2010-06-15,28.178571428571427,24.095714285714287,66.51666666666667
2010-07-15,29.49142857142857,24.009999999999998,69.418
2010-08-15,29.948571428571427,25.66142857142857,71.058
2010-09-15,31.322857142857142,29.71142857142857,74.35
2010-10-15,33.058571428571426,32.104285714285716,79.23400000000001
2010-11-15,32.67285714285714,31.82,82.168
2010-12-15,32.83,32.38857142857143,83.73400000000001
2011-01-15,34.86714285714286,35.29,90.826
2011-02-15,34.65,35.71,98.63
2011-03-15,34.251666666666665,34.89142857142857,96.64833333333333
2011-04-15,33.80166666666667,33.932857142857145,96.65166666666666
2011-05-15,32.355714285714285,32.59285714285714,97.48333333333333
2011-06-15,30.63714285714286,30.84,98.868
2011-07-15,31.601428571428574,30.12857142857143,99.288
2011-08-15,31.68857142857143,29.942857142857143,99.02166666666666
2011-09-15,31.802857142857142,30.827142857142857,99.12
2011-10-15,30.65857142857143,31.42142857142857,98.13499999999999
2011-11-15,29.557142857142857,31.65857142857143,96.235
2011-12-15,29.04714285714286,31.697142857142858,94.48666666666666
2012-01-15,29.134285714285713,31.837142857142858,97.045
2012-02-15,28.885714285714283,33.222857142857144,98.46
2012-03-15,28.071428571428573,35.598571428571425,101.86166666666666
2012-04-15,27.404285714285713,35.22571428571428,105.78333333333335
2012-05-15,26.624285714285715,33.462857142857146,106.18
2012-06-15,26.37,32.62714285714286,103.65833333333335
2012-07-15,25.431428571428572,32.17142857142857,104.47833333333334
2012-08-15,25.107142857142858,32.777142857142856,100.70166666666667
2012-09-15,24.818571428571428,34.35857142857143,99.43
2012-10-15,24.89428571428571,35.885714285714286,94.29166666666667
2012-11-15,26.275714285714287,36.69428571428572,88.94833333333334
2012-12-15,26.315714285714286,36.74857142857143,88.94833333333334
2013-01-15,26.352857142857143,32.777142857142856,86.63333333333333
2013-02-15,29.194285714285716,37.38857142857143,83.90166666666666
2013-03-15,29.541428571428572,37.57,82.54333333333334
2013-04-15,29.45,37.221428571428575,80.69833333333334
2013-05-15,29.595714285714287,36.777142857142856,81.13166666666667
2013-06-15,29.041428571428572,36.82714285714286,80.02
2013-07-15,30.34,36.71714285714285,79.46
2013-08-15,30.849999999999998,36.22571428571429,77.56833333333333
2013-09-15,31.66,35.61,77.18166666666666
2013-10-15,32.17285714285715,34.75,77.61
2013-11-15,33.40428571428571,35.28857142857142,78.825
2013-12-15,32.89625,35.96142857142857,80.45333333333333
2014-01-15,34.105000000000004,36.424285714285716,79.69666666666667
2014-02-15,33.480000000000004,36.61714285714286,78.78
2014-03-15,33.48125,36.41285714285714,79.72666666666667
2014-04-15,34.19,36.30571428571428,80.66333333333334
2014-05-15,33.9425,36.042857142857144,82.54166666666667
2014-06-15,33.0275,35.769999999999996,85.53333333333335
2014-07-15,33.415,35.73428571428571,83.70666666666666
2014-08-15,34.05875,35.45857142857143,80.44833333333334
2014-09-15,34.21375,35.36571428571428,76.36666666666666
2014-10-15,34.1975,35.20428571428572,73.24833333333333
2014-11-15,34.19,35.38,72.13
2014-12-15,32.9525,35.440000000000005,71.39166666666667
2015-01-15,32.61625,35.752857142857145,71.74499999999999
2015-02-15,32.93875,35.65428571428571,71.12166666666667
2015-03-15,32.71375,35.45285714285715,69.89666666666666
2015-04-15,32.19875,34.980000000000004,67.795
2015-05-15,29.335,33.86,66.05333333333333
2015-06-15,28.7275,33.37428571428571,66.335
2015-07-15,28.2875,33.09428571428571,66.89333333333333
2015-08-15,28.1925,32.934285714285714,68.55333333333333
2015-09-15,28.035,32.69714285714286,68.19333333333333
2015-10-15,28.48375,32.660000000000004,65.71499999999999
2015-11-15,27.9525,32.535714285714285,64.575
2015-12-15,27.05375,32.34142857142857,63.56166666666667
2016-01-15,27.6225,32.20857142857143,64.38
2016-02-15,27.855,32.08428571428571,63.65833333333333
2016-03-15,26.77375,31.791428571428572,64.36166666666666
2016-04-15,26.11,31.32,66.50166666666667
2016-05-15,25.99625,30.865714285714287,67.55666666666667
2016-06-15,26.61875,30.557142857142857,67.78666666666668
2016-07-15,28.07625,30.195714285714285,68.185
2016-08-15,30.4875,30.42142857142857,69.41333333333334
2016-09-15,33.155,30.512857142857143,72.61666666666666
2016-10-15,35.5375,30.7,73.29666666666667
2016-11-15,36.32375,30.71,73.25666666666667
2016-12-15,34.71625,30.69857142857143,74.435
2017-01-15,34.81375,30.655714285714286,75.57833333333333
2017-02-15,35.505,30.365714285714287,75.54333333333334
2017-03-15,36.43125,30.217142857142857,74.86666666666666
2017-04-15,38.92857142857143,30.09714285714286,74.71333333333332
2017-05-15,42.05142857142857,30.24142857142857,74.79
2017-06-15,43.75333333333333,29.755,74.364
2017-07-15,42.208333333333336,29.685000000000002,73.99199999999999
2017-08-15,41.00285714285714,30.068571428571428,73.41166666666668
2017-09-15,36.07142857142857,31.548571428571428,74.16166666666668
2017-10-15,35.221428571428575,31.94142857142857,73.77833333333334
2017-11-15,33.287142857142854,31.785714285714285,73.60000000000001
2017-12-15,41.031666666666666,31.387142857142855,73.66833333333334
2018-01-15,40.8,33.66428571428572,73.30833333333334
2018-02-15,40.905,33.64857142857143,73.37166666666667
2018-03-15,40.75333333333334,33.31285714285714,73.615
2018-04-15,39.11833333333333,31.604285714285712,73.21
2018-05-15,38.593333333333334,31.24285714285714,73.075
