DATE,PFOODINDEXM
2010-01-01,98.518393838533
2010-02-01,98.3462000687426
2010-03-01,101.253786682566
2010-04-01,103.79585780162
2010-05-01,100.187063144666
2010-06-01,96.3533907085615
2010-07-01,102.125458670313
2010-08-01,104.401520683287
2010-09-01,109.672392666281
2010-10-01,113.516480599625
2010-11-01,114.623066977036
2010-12-01,121.910638623372
2011-01-01,125.784682333683
2011-02-01,129.466032351768
2011-03-01,128.416084803919
2011-04-01,132.802192115931
2011-05-01,129.796251488156
2011-06-01,127.850775363456
2011-07-01,126.960760180079
2011-08-01,126.560963714982
2011-09-01,120.636993994819
2011-10-01,118.247108457545
2011-11-01,118.05669557819
2011-12-01,115.078195372297
2012-01-01,117.844531807742
2012-02-01,120.593232847386
2012-03-01,123.099494058758
2012-04-01,122.169860956251
2012-05-01,116.534238638321
2012-06-01,116.756889807029
2012-07-01,123.555729810506
2012-08-01,124.876439658002
2012-09-01,122.343050216696
2012-10-01,121.507314642797
2012-11-01,120.52980956114
2012-12-01,120.667882419966
2013-01-01,122.095975333357
2013-02-01,121.335504629157
2013-03-01,121.59977566074
2013-04-01,124.079045896732
2013-05-01,126.579657121435
2013-06-01,124.599682678302
2013-07-01,122.608137883078
2013-08-01,119.287445513654
2013-09-01,115.604602806922
2013-10-01,114.898940051777
2013-11-01,115.955524235441
2013-12-01,117.223839191532
2014-01-01,117.761534239214
2014-02-01,121.051859583211
2014-03-01,128.098890239639
2014-04-01,130.638546011728
2014-05-01,125.380757790057
2014-06-01,122.511049793131
2014-07-01,119.788458412454
2014-08-01,114.202901118978
2014-09-01,112.025990695527
2014-10-01,111.371200634263
2014-11-01,111.111272184008
2014-12-01,109.184271832501
2015-01-01,104.537102020942
2015-02-01,101.530816441441
2015-03-01,98.9538246022442
2015-04-01,100.883695502917
2015-05-01,100.766255919456
2015-06-01,100.301794982302
2015-07-01,100.155793158325
2015-08-01,97.0864767073335
2015-09-01,96.2900233180341
2015-10-01,96.8241296145989
2015-11-01,92.7717263122203
2015-12-01,92.3530597838305
2016-01-01,92.31938264955
2016-02-01,93.6289673278616
2016-03-01,97.0829436431974
2016-04-01,100.069111403131
2016-05-01,101.441268221426
2016-06-01,103.578271726506
2016-07-01,103.882910648568
2016-08-01,102.124548344635
2016-09-01,101.706647027027
2016-10-01,100.643422208853
2016-11-01,101.195777350323
2016-12-01,102.326749448923
2017-01-01,106.536629015984
2017-02-01,107.022787943169
2017-03-01,103.435336447759
2017-04-01,102.804709796017
2017-05-01,105.218455626237
2017-06-01,104.517412484814
2017-07-01,106.864007987337
2017-08-01,102.080849360057
2017-09-01,100.849223168115
2017-10-01,101.652154990465
2017-11-01,102.29060043899
2017-12-01,102.281726502539
2018-01-01,105.817648555528
2018-02-01,105.893344254943
2018-03-01,106.90542239454
2018-04-01,106.718892005956
2018-05-01,108.362526378513
2018-06-01,104.080105765703
2018-07-01,101.330139556782
2018-08-01,97.3613444189903
2018-09-01,98.6266821806031
2018-10-01,100.421378326632
2018-11-01,95.8552242237267
2018-12-01,98.689926328298
2019-01-01,100.466541634066
2019-02-01,98.7722050730723
2019-03-01,98.0631097207465
2019-04-01,101.569201276263
2019-05-01,98.094289080568
2019-06-01,100.21284140868
2019-07-01,100.271973935613
2019-08-01,98.2604297965905
2019-09-01,96.0530577502481
2019-10-01,96.3821999312205
2019-11-01,100.277643157927
2019-12-01,104.019084142494
2020-01-01,105.402562830114
2020-02-01,101.111475525452
2020-03-01,97.1999828086911
2020-04-01,92.9336296554799
2020-05-01,96.5167058608417
2020-06-01,99.8056677925157
2020-07-01,97.6357175105033
2020-08-01,98.623679633802
2020-09-01,99.9996529105127
2020-10-01,105.348152537068
2020-11-01,108.414773754468
2020-12-01,109.504034336679
2021-01-01,116.395266584669
2021-02-01,119.448081148047
2021-03-01,122.229373307758
2021-04-01,129.695972174382
2021-05-01,135.1960945837
2021-06-01,127.652986460079
2021-07-01,128.972854881225
2021-08-01,131.478603140976
2021-09-01,127.014613090236
2021-10-01,127.953978476073
2021-11-01,129.712335477001
2021-12-01,133.45845876957
2022-01-01,139.89282990779
2022-02-01,147.147273634088
2022-03-01,157.585185851443
2022-04-01,161.733294006871
2022-05-01,158.76568478209
2022-06-01,152.824309949178
2022-07-01,142.148356575283
